Gene,Category,AR2_Eigenvalue,AR2_R2,AR2_RootType,Cosinor_Amplitude,Cosinor_Phase,Cosinor_qValue,Cosinor_R2,Cosinor_Rhythmic,JTK_Tau,JTK_qValue,JTK_Period,JTK_Rhythmic,Agreement
Tbce,Other,0.6882,0.2306,Real,145.4585,21.19,0.0002,0.6757,True,0.6618,0.0064,24,True,"All agree"
Ggps1,Other,0.6655,0.1725,Real,20.9821,22.58,0.1864,0.2179,False,0.3912,0.8177,28,False,"AR(2) unique"
Hecw1,Other,0.5712,0.0935,Real,2.4516,14.44,0.1591,0.2342,False,-0.3193,1,24,False,"AR(2) unique"
Mrpl32,Other,0.6671,0.1558,Real,37.0459,0.76,0.0086,0.4682,True,0.4582,0.2761,24,False,"Partial"
Sugct,Other,0.5629,0.0947,Real,87.6531,22.62,0.0292,0.3825,True,-0.4364,0.3955,28,False,"Partial"
Cdk13,Other,0.5466,0.106,Real,94.4973,17.62,0.0059,0.4921,True,0.4509,0.3108,24,False,"Partial"
Rala,Other,0.6855,0.1753,Real,55.8165,13.07,0.1107,0.2701,False,-0.34,1,24,False,"AR(2) unique"
Vdac3,Other,0.2493,0.0039,Real,40.1127,3.07,0.3943,0.1238,False,-0.2255,1,28,False,"All agree: none"
Pou6f2,Other,0.6017,0.1157,Real,3.9303,14.22,0.0307,0.3789,True,0.3912,0.8177,24,False,"Partial"
Stard3nl,Other,0.8017,0.3516,Real,48.3943,1.35,0.0002,0.6608,True,0.6497,0.0084,24,True,"All agree"
Epdr1,Other,0.3906,0.0299,Complex,2.9999,12.54,0.2141,0.2027,False,-0.34,1,24,False,"All agree: none"
Nme8,Other,0.3218,0.0277,Real,0.7384,13.07,0.6965,0.0493,False,-0.2279,1,28,False,"All agree: none"
A530099J19Rik,Other,0.1552,0.0074,Complex,10.1005,13.64,0.3786,0.1292,False,-0.2596,1,24,False,"All agree: none"
Gpr141,Other,0.3078,0.0201,Real,3.4953,14.12,0.1945,0.2134,False,-0.4015,0.7317,20,False,"All agree: none"
Srsf10,Other,0.7018,0.2393,Real,41.396,3.4,0.0194,0.4122,True,0.4453,0.351,20,False,"Partial"
Olfr1370,Other,0.4061,0.0397,Real,7.237,13.83,0.2901,0.1655,False,-0.2084,1,24,False,"All agree: none"
Olfr1368,Other,0.39,0.021,Real,2.6691,12.93,0.4893,0.096,False,0.2993,1,28,False,"All agree: none"
Gpx5,Other,0.1839,0.0401,Real,0.3896,17.07,0.4966,0.094,False,-0.2926,1,20,False,"All agree: none"
Zkscan3,Other,0.5274,0.5092,Complex,131.4616,2.45,0,0.791,True,0.635,0.0109,24,True,"All agree"
Pgbd1,Other,0.3493,0.0631,Complex,1.4243,6.81,0.4441,0.1083,False,-0.2279,1,20,False,"All agree: none"
Zscan26,Other,0.4834,0.0474,Real,76.3928,19.13,0.0409,0.3568,True,0.4509,0.3108,24,False,"Rhythm-only"
Nkapl,Other,0.6689,0.2019,Complex,0.6162,13.22,0.5991,0.0691,False,-0.1289,1,24,False,"AR(2) unique"
Gm10065,Other,0.2728,0.0195,Real,3.2116,2.9,0.4518,0.1061,False,0.223,1,20,False,"All agree: none"
Zfp389,Other,0.1653,0.0084,Complex,1.8125,14.46,0.3466,0.141,False,-0.2721,1,20,False,"All agree: none"
Zkscan8,Other,0.5269,0.1064,Real,27.7858,1.78,0.0025,0.5433,True,0.4891,0.1674,24,False,"Partial"
Olfr1366,Other,0.377,0.0245,Real,21.449,13.76,0.2671,0.1762,False,-0.2774,1,20,False,"All agree: none"
Olfr1535,Other,0.6416,0.1461,Real,3.8858,13.81,0.2733,0.1731,False,0.2628,1,24,False,"AR(2) unique"
Olfr1364,Other,0.7179,0.2694,Real,1.795,13.13,0.5905,0.0709,False,-0.1875,1,20,False,"AR(2) unique"
Olfr1362,Other,0.555,0.0945,Real,5.0089,15.23,0.3444,0.1419,False,0.2368,1,24,False,"AR(2) unique"
Olfr11,Other,0.5233,0.1034,Real,3.2885,13.17,0.4401,0.1095,False,-0.1865,1,20,False,"AR(2) unique"
Olfr1361,Other,0.499,0.0609,Complex,1.3372,17.05,0.6983,0.0489,False,0.1639,1,28,False,"All agree: none"
Hist1h2ak,Other,0.4997,0.2385,Real,8.8395,4.29,0.0151,0.4302,True,0.4762,0.217,20,False,"Rhythm-only"
Hist1h1b,Other,0.4166,0.1921,Complex,19.5301,5.57,0.0135,0.438,True,0.5155,0.1072,20,False,"Rhythm-only"
Prss16,Other,0.827,0.3223,Real,3.0891,14.52,0.0992,0.2808,False,-0.4103,0.621,20,False,"AR(2) unique"
Hist1h4i,Other,0.3439,0.0135,Real,6.9545,4.84,0.0832,0.297,False,-0.4044,0.6607,24,False,"All agree: none"
Vmn1r189,Other,0.7521,0.3105,Real,0.6631,6.95,0.3473,0.1407,False,-0.3707,1,28,False,"AR(2) unique"
Vmn1r192,Other,0.7084,0.2186,Real,2.4462,13.49,0.5059,0.0916,False,-0.2018,1,20,False,"AR(2) unique"
Vmn1r193,Other,0.5387,0.0959,Real,14.1666,14.29,0.4579,0.1043,False,-0.146,1,20,False,"AR(2) unique"
Vmn1r202,Other,0.2979,0.0109,Real,23.3338,13.75,0.3379,0.1448,False,-0.2701,1,20,False,"All agree: none"
Vmn1r205,Other,0.5599,0.0864,Real,0.8292,13.11,0.2382,0.1898,False,-0.2111,1,24,False,"AR(2) unique"
Vmn1r206,Other,0.7165,0.411,Complex,0.2002,1.02,0.9227,0.0111,False,0.1544,1,24,False,"AR(2) unique"
Vmn1r208,Other,0.3869,0.0523,Real,7.612,13.81,0.4297,0.1126,False,-0.1752,1,20,False,"All agree: none"
Vmn1r210,Other,0.4604,0.1249,Real,0.1983,13.27,0.6719,0.0541,False,-0.1469,1,28,False,"All agree: none"
Vmn1r211,Other,0.1803,0.0249,Complex,1.4814,14.39,0.6987,0.0488,False,-0.2165,1,20,False,"All agree: none"
Vmn1r212,Other,0.411,0.0258,Real,1.8226,12.76,0.3237,0.1505,False,0.2482,1,28,False,"All agree: none"
Vmn1r217,Other,0.6329,0.1527,Real,1.0626,15.09,0.6348,0.0614,False,-0.2784,1,20,False,"AR(2) unique"
Vmn1r220,Other,0.2792,0.0062,Complex,0.687,9.76,0.7835,0.0335,False,-0.2878,1,28,False,"All agree: none"
Vmn1r222,Other,0.3979,0.0245,Real,0.7915,8.35,0.2906,0.1652,False,-0.3897,0.8575,28,False,"All agree: none"
