gene_id	eigenvalue	R2	beta1	beta2	complex	mean_expr	starvation_maintenance
ECB_00875	0.7724	0.179	1.1183	-0.2279	N	52.6	0.2825
ECB_02622	0.9743	-0.092	1.0988	-0.2115	N	30.0	1.1285
ECB_02186	0.9939	0.207	1.1849	-0.2847	N	49.7	0.4277
ECB_01154	0.8312	0.063	1.2058	-0.3025	N	23.4	0.8559
ECB_03074	0.7869	-0.051	0.9828	-0.1131	N	46.4	0.3617
ECB_04020	0.9387	0.187	1.1076	-0.2191	N	69.6	0.2825
ECB_04057	0.7045	-0.123	0.9659	-0.0988	N	13.2	0.6557
ECB_01970	0.8995	0.129	0.9780	-0.1093	N	247.0	0.1498
ECB_02933	0.6284	-0.432	0.3481	0.4256	N	1.0	1.2692
ECB_02789	0.9132	0.197	0.9870	-0.1171	N	57.4	0.1882
ECB_00422	0.8039	0.143	0.9327	-0.0711	N	219.6	0.1377
ECB_03240	0.7933	0.378	1.1638	-0.2674	N	654.7	0.0858
ECB_01205	0.6504	-0.305	0.4710	0.3207	N	5.9	0.3971
ECB_00102	0.9207	-0.052	0.9383	-0.0761	N	33.6	0.3939
ECB_02759	0.4003	0.165	0.9992	-0.1279	N	72.4	0.2061
ECB_00820	0.5344	-0.214	0.3446	0.4276	N	0.2	2.2500
ECB_03842	0.6816	0.079	0.9308	-0.0698	N	101.4	0.2150
ECB_01105	0.9311	0.104	0.9418	-0.0792	N	544.2	0.1140
ECB_00617	0.4930	-0.140	0.8609	-0.0106	N	82.6	0.3860
ECB_03253	0.6274	0.219	0.9215	-0.0620	N	98.8	0.1467
ECB_01358	0.5804	-0.291	0.7738	0.0633	N	3.7	1.9737
ECB_02183	0.7133	-0.571	0.7832	0.0553	N	5.0	0.9179
ECB_01290	0.9984	-0.178	1.0478	-0.1692	N	1.0	2.0000
ECB_03847	0.8907	0.271	1.0102	-0.1373	N	487.9	0.0962
ECB_03506	0.9256	0.035	1.0342	-0.1577	N	232.9	0.3093
ECB_02083	0.8457	0.016	0.8664	-0.0155	N	52.9	0.2543
ECB_00269	0.6779	-0.165	0.9745	-0.1073	N	47.4	0.7907
ECB_01230	0.8917	-0.964	0.5268	0.2724	N	8.7	0.7222
